             t                       X                      Y       
 0.21400000E+01 0.41524351E+03 0.11303181E+04
 0.21500000E+01 0.41000880E+03 0.11284021E+04
 0.21600000E+01 0.40485579E+03 0.11263711E+04
 0.21700000E+01 0.39978399E+03 0.11242278E+04
 0.21800000E+01 0.39479287E+03 0.11219745E+04
 0.21900000E+01 0.38988185E+03 0.11196137E+04
 0.22000000E+01 0.38505032E+03 0.11171479E+04
 0.22100000E+01 0.38029766E+03 0.11145796E+04
 0.22200000E+01 0.37562320E+03 0.11119112E+04
 0.22300000E+01 0.37102624E+03 0.11091453E+04
 0.22400000E+01 0.36650606E+03 0.11062843E+04
 0.22500000E+01 0.36206192E+03 0.11033306E+04
 0.22600000E+01 0.35769306E+03 0.11002868E+04
 0.22700000E+01 0.35339869E+03 0.10971552E+04
 0.22800000E+01 0.34917802E+03 0.10939384E+04
 0.22900000E+01 0.34503021E+03 0.10906386E+04
 0.23000000E+01 0.34095445E+03 0.10872582E+04
 0.23100000E+01 0.33694988E+03 0.10837998E+04
 0.23200000E+01 0.33301566E+03 0.10802655E+04
 0.23300000E+01 0.32915091E+03 0.10766577E+04
 0.23400000E+01 0.32535476E+03 0.10729788E+04
 0.23500000E+01 0.32162633E+03 0.10692310E+04
 0.23600000E+01 0.31796474E+03 0.10654166E+04
 0.23700000E+01 0.31436909E+03 0.10615377E+04
 0.23800000E+01 0.31083849E+03 0.10575966E+04
 0.23900000E+01 0.30737204E+03 0.10535955E+04
 0.24000000E+01 0.30396884E+03 0.10495364E+04
 0.24100000E+01 0.30062800E+03 0.10454216E+04
 0.24200000E+01 0.29734862E+03 0.10412530E+04
 0.24300000E+01 0.29412981E+03 0.10370328E+04
 0.24400000E+01 0.29097066E+03 0.10327629E+04
 0.24500000E+01 0.28787029E+03 0.10284454E+04
 0.24600000E+01 0.28482782E+03 0.10240821E+04
 0.24700000E+01 0.28184235E+03 0.10196750E+04
 0.24800000E+01 0.27891302E+03 0.10152260E+04
 0.24900000E+01 0.27603896E+03 0.10107370E+04
 0.25000000E+01 0.27321929E+03 0.10062096E+04
 0.25100000E+01 0.27045317E+03 0.10016459E+04
 0.25200000E+01 0.26773973E+03 0.99704737E+03
 0.25300000E+01 0.26507815E+03 0.99241588E+03
 0.25400000E+01 0.26246757E+03 0.98775307E+03
 0.25500000E+01 0.25990719E+03 0.98306061E+03
 0.25600000E+01 0.25739617E+03 0.97834009E+03
 0.25700000E+01 0.25493371E+03 0.97359311E+03
 0.25800000E+01 0.25251901E+03 0.96882121E+03
 0.25900000E+01 0.25015129E+03 0.96402592E+03
 0.26000000E+01 0.24782975E+03 0.95920870E+03
 0.26100000E+01 0.24555364E+03 0.95437102E+03
 0.26200000E+01 0.24332219E+03 0.94951430E+03
 0.26300000E+01 0.24113466E+03 0.94463992E+03
 0.26400000E+01 0.23899030E+03 0.93974922E+03
 0.26500000E+01 0.23688838E+03 0.93484355E+03
 0.26600000E+01 0.23482819E+03 0.92992419E+03
 0.26700000E+01 0.23280903E+03 0.92499239E+03
 0.26800000E+01 0.23083018E+03 0.92004940E+03
 0.26900000E+01 0.22889098E+03 0.91509641E+03
 0.27000000E+01 0.22699075E+03 0.91013459E+03
 0.27100000E+01 0.22512881E+03 0.90516509E+03
 0.27200000E+01 0.22330452E+03 0.90018901E+03
 0.27300000E+01 0.22151724E+03 0.89520745E+03
 0.27400000E+01 0.21976634E+03 0.89022145E+03
 0.27500000E+01 0.21805119E+03 0.88523205E+03
 0.27600000E+01 0.21637118E+03 0.88024025E+03
 0.27700000E+01 0.21472572E+03 0.87524702E+03
 0.27800000E+01 0.21311422E+03 0.87025331E+03
 0.27900000E+01 0.21153609E+03 0.86526004E+03
 0.28000000E+01 0.20999078E+03 0.86026812E+03
 0.28100000E+01 0.20847772E+03 0.85527840E+03
 0.28200000E+01 0.20699637E+03 0.85029175E+03
 0.28300000E+01 0.20554618E+03 0.84530898E+03
 0.28400000E+01 0.20412665E+03 0.84033089E+03
 0.28500000E+01 0.20273723E+03 0.83535826E+03
 0.28600000E+01 0.20137744E+03 0.83039184E+03
 0.28700000E+01 0.20004677E+03 0.82543237E+03
 0.28800000E+01 0.19874474E+03 0.82048054E+03
 0.28900000E+01 0.19747086E+03 0.81553706E+03
 0.29000000E+01 0.19622467E+03 0.81060259E+03
 0.29100000E+01 0.19500572E+03 0.80567777E+03
 0.29200000E+01 0.19381354E+03 0.80076322E+03
 0.29300000E+01 0.19264770E+03 0.79585957E+03
 0.29400000E+01 0.19150776E+03 0.79096738E+03
 0.29500000E+01 0.19039331E+03 0.78608724E+03
 0.29600000E+01 0.18930393E+03 0.78121968E+03
 0.29700000E+01 0.18823921E+03 0.77636524E+03
 0.29800000E+01 0.18719876E+03 0.77152444E+03
 0.29900000E+01 0.18618218E+03 0.76669776E+03
 0.30000000E+01 0.18518909E+03 0.76188569E+03
 0.30100000E+01 0.18421912E+03 0.75708869E+03
 0.30200000E+01 0.18327191E+03 0.75230721E+03
 0.30300000E+01 0.18234709E+03 0.74754167E+03
 0.30400000E+01 0.18144432E+03 0.74279250E+03
 0.30500000E+01 0.18056326E+03 0.73806008E+03
 0.30600000E+01 0.17970356E+03 0.73334481E+03
 0.30700000E+01 0.17886490E+03 0.72864706E+03
 0.30800000E+01 0.17804696E+03 0.72396718E+03
 0.30900000E+01 0.17724943E+03 0.71930551E+03
 0.31000000E+01 0.17647199E+03 0.71466238E+03
 0.31100000E+01 0.17571435E+03 0.71003812E+03
 0.31200000E+01 0.17497622E+03 0.70543301E+03
 0.31300000E+01 0.17425730E+03 0.70084736E+03
 0.31400000E+01 0.17355732E+03 0.69628144E+03
 0.31500000E+01 0.17287600E+03 0.69173552E+03
 0.31600000E+01 0.17221307E+03 0.68720986E+03
 0.31700000E+01 0.17156827E+03 0.68270469E+03
 0.31800000E+01 0.17094134E+03 0.67822025E+03
 0.31900000E+01 0.17033204E+03 0.67375677E+03
 0.32000000E+01 0.16974011E+03 0.66931445E+03
 0.32100000E+01 0.16916532E+03 0.66489349E+03
 0.32200000E+01 0.16860744E+03 0.66049410E+03
 0.32300000E+01 0.16806623E+03 0.65611644E+03
 0.32400000E+01 0.16754147E+03 0.65176070E+03
 0.32500000E+01 0.16703294E+03 0.64742703E+03
 0.32600000E+01 0.16654044E+03 0.64311559E+03
 0.32700000E+01 0.16606375E+03 0.63882653E+03
 0.32800000E+01 0.16560267E+03 0.63455998E+03
 0.32900000E+01 0.16515700E+03 0.63031608E+03
 0.33000000E+01 0.16472655E+03 0.62609494E+03
 0.33100000E+01 0.16431112E+03 0.62189668E+03
 0.33200000E+01 0.16391054E+03 0.61772140E+03
 0.33300000E+01 0.16352463E+03 0.61356921E+03
 0.33400000E+01 0.16315320E+03 0.60944019E+03
 0.33500000E+01 0.16279609E+03 0.60533443E+03
 0.33600000E+01 0.16245313E+03 0.60125201E+03
 0.33700000E+01 0.16212416E+03 0.59719300E+03
 0.33800000E+01 0.16180901E+03 0.59315745E+03
 0.33900000E+01 0.16150754E+03 0.58914544E+03
 0.34000000E+01 0.16121958E+03 0.58515702E+03
 0.34100000E+01 0.16094500E+03 0.58119222E+03
 0.34200000E+01 0.16068365E+03 0.57725110E+03
 0.34300000E+01 0.16043539E+03 0.57333369E+03
 0.34400000E+01 0.16020009E+03 0.56944001E+03
 0.34500000E+01 0.15997760E+03 0.56557010E+03
 0.34600000E+01 0.15976781E+03 0.56172397E+03
 0.34700000E+01 0.15957058E+03 0.55790163E+03
 0.34800000E+01 0.15938579E+03 0.55410311E+03
 0.34900000E+01 0.15921332E+03 0.55032840E+03
 0.35000000E+01 0.15905306E+03 0.54657751E+03
 0.35100000E+01 0.15890490E+03 0.54285043E+03
 0.35200000E+01 0.15876871E+03 0.53914716E+03
 0.35300000E+01 0.15864441E+03 0.53546768E+03
 0.35400000E+01 0.15853187E+03 0.53181199E+03
 0.35500000E+01 0.15843101E+03 0.52818005E+03
 0.35600000E+01 0.15834172E+03 0.52457185E+03
 0.35700000E+01 0.15826390E+03 0.52098736E+03
 0.35800000E+01 0.15819747E+03 0.51742656E+03
 0.35900000E+01 0.15814233E+03 0.51388941E+03
 0.36000000E+01 0.15809840E+03 0.51037587E+03
 0.36100000E+01 0.15806560E+03 0.50688590E+03
 0.36200000E+01 0.15804383E+03 0.50341946E+03
 0.36300000E+01 0.15803302E+03 0.49997652E+03
 0.36400000E+01 0.15803309E+03 0.49655701E+03
 0.36500000E+01 0.15804398E+03 0.49316089E+03
 0.36600000E+01 0.15806559E+03 0.48978810E+03
 0.36700000E+01 0.15809788E+03 0.48643859E+03
 0.36800000E+01 0.15814076E+03 0.48311230E+03
 0.36900000E+01 0.15819417E+03 0.47980918E+03
 0.37000000E+01 0.15825805E+03 0.47652914E+03
 0.37100000E+01 0.15833234E+03 0.47327214E+03
 0.37200000E+01 0.15841698E+03 0.47003811E+03
 0.37300000E+01 0.15851191E+03 0.46682697E+03
 0.37400000E+01 0.15861707E+03 0.46363865E+03
 0.37500000E+01 0.15873242E+03 0.46047308E+03
 0.37600000E+01 0.15885791E+03 0.45733019E+03
 0.37700000E+01 0.15899348E+03 0.45420990E+03
 0.37800000E+01 0.15913908E+03 0.45111213E+03
 0.37900000E+01 0.15929468E+03 0.44803680E+03
 0.38000000E+01 0.15946023E+03 0.44498383E+03
 0.38100000E+01 0.15963569E+03 0.44195314E+03
 0.38200000E+01 0.15982102E+03 0.43894464E+03
 0.38300000E+01 0.16001618E+03 0.43595824E+03
 0.38400000E+01 0.16022113E+03 0.43299387E+03
 0.38500000E+01 0.16043585E+03 0.43005142E+03
 0.38600000E+01 0.16066029E+03 0.42713082E+03
 0.38700000E+01 0.16089443E+03 0.42423197E+03
 0.38800000E+01 0.16113825E+03 0.42135478E+03
 0.38900000E+01 0.16139170E+03 0.41849916E+03
 0.39000000E+01 0.16165477E+03 0.41566502E+03
 0.39100000E+01 0.16192744E+03 0.41285225E+03
 0.39200000E+01 0.16220967E+03 0.41006077E+03
 0.39300000E+01 0.16250145E+03 0.40729048E+03
 0.39400000E+01 0.16280276E+03 0.40454128E+03
 0.39500000E+01 0.16311358E+03 0.40181308E+03
 0.39600000E+01 0.16343389E+03 0.39910577E+03
 0.39700000E+01 0.16376368E+03 0.39641926E+03
 0.39800000E+01 0.16410294E+03 0.39375345E+03
 0.39900000E+01 0.16445164E+03 0.39110824E+03
 0.40000000E+01 0.16480979E+03 0.38848352E+03
 0.40100000E+01 0.16517737E+03 0.38587921E+03
 0.40200000E+01 0.16555437E+03 0.38329518E+03
 0.40300000E+01 0.16594079E+03 0.38073136E+03
 0.40400000E+01 0.16633663E+03 0.37818762E+03
 0.40500000E+01 0.16674186E+03 0.37566387E+03
 0.40600000E+01 0.16715650E+03 0.37316001E+03
 0.40700000E+01 0.16758055E+03 0.37067593E+03
 0.40800000E+01 0.16801399E+03 0.36821154E+03
 0.40900000E+01 0.16845684E+03 0.36576671E+03
 0.41000000E+01 0.16890909E+03 0.36334136E+03
 0.41100000E+01 0.16937074E+03 0.36093538E+03
 0.41200000E+01 0.16984181E+03 0.35854867E+03
 0.41300000E+01 0.17032230E+03 0.35618111E+03
 0.41400000E+01 0.17081221E+03 0.35383261E+03
 0.41500000E+01 0.17131156E+03 0.35150307E+03
 0.41600000E+01 0.17182034E+03 0.34919237E+03
 0.41700000E+01 0.17233858E+03 0.34690041E+03
 0.41800000E+01 0.17286628E+03 0.34462709E+03
 0.41900000E+01 0.17340345E+03 0.34237231E+03
 0.42000000E+01 0.17395011E+03 0.34013596E+03
 0.42100000E+01 0.17450628E+03 0.33791793E+03
 0.42200000E+01 0.17507197E+03 0.33571813E+03
 0.42300000E+01 0.17564719E+03 0.33353644E+03
 0.42400000E+01 0.17623197E+03 0.33137277E+03
 0.42500000E+01 0.17682632E+03 0.32922702E+03
 0.42600000E+01 0.17743026E+03 0.32709906E+03
 0.42700000E+01 0.17804382E+03 0.32498882E+03
 0.42800000E+01 0.17866701E+03 0.32289618E+03
 0.42900000E+01 0.17929986E+03 0.32082103E+03
 0.43000000E+01 0.17994240E+03 0.31876329E+03
 0.43100000E+01 0.18059464E+03 0.31672283E+03
 0.43200000E+01 0.18125662E+03 0.31469957E+03
 0.43300000E+01 0.18192836E+03 0.31269341E+03
 0.43400000E+01 0.18260989E+03 0.31070423E+03
 0.43500000E+01 0.18330123E+03 0.30873194E+03
 0.43600000E+01 0.18400243E+03 0.30677644E+03
 0.43700000E+01 0.18471350E+03 0.30483763E+03
 0.43800000E+01 0.18543448E+03 0.30291540E+03
 0.43900000E+01 0.18616541E+03 0.30100967E+03
 0.44000000E+01 0.18690631E+03 0.29912032E+03
 0.44100000E+01 0.18765722E+03 0.29724727E+03
 0.44200000E+01 0.18841818E+03 0.29539041E+03
 0.44300000E+01 0.18918923E+03 0.29354964E+03
 0.44400000E+01 0.18997039E+03 0.29172487E+03
 0.44500000E+01 0.19076171E+03 0.28991601E+03
 0.44600000E+01 0.19156323E+03 0.28812295E+03
 0.44700000E+01 0.19237499E+03 0.28634559E+03
 0.44800000E+01 0.19319702E+03 0.28458385E+03
 0.44900000E+01 0.19402938E+03 0.28283763E+03
 0.45000000E+01 0.19487210E+03 0.28110683E+03
 0.45100000E+01 0.19572522E+03 0.27939136E+03
 0.45200000E+01 0.19658879E+03 0.27769112E+03
 0.45300000E+01 0.19746286E+03 0.27600603E+03
 0.45400000E+01 0.19834747E+03 0.27433599E+03
 0.45500000E+01 0.19924267E+03 0.27268090E+03
 0.45600000E+01 0.20014850E+03 0.27104069E+03
 0.45700000E+01 0.20106502E+03 0.26941525E+03
 0.45800000E+01 0.20199227E+03 0.26780450E+03
 0.45900000E+01 0.20293030E+03 0.26620834E+03
 0.46000000E+01 0.20387917E+03 0.26462669E+03
 0.46100000E+01 0.20483893E+03 0.26305946E+03
 0.46200000E+01 0.20580962E+03 0.26150656E+03
 0.46300000E+01 0.20679130E+03 0.25996791E+03
 0.46400000E+01 0.20778404E+03 0.25844341E+03
 0.46500000E+01 0.20878787E+03 0.25693299E+03
 0.46600000E+01 0.20980286E+03 0.25543655E+03
 0.46700000E+01 0.21082906E+03 0.25395401E+03
 0.46800000E+01 0.21186653E+03 0.25248529E+03
 0.46900000E+01 0.21291533E+03 0.25103030E+03
 0.47000000E+01 0.21397552E+03 0.24958896E+03
 0.47100000E+01 0.21504716E+03 0.24816119E+03
 0.47200000E+01 0.21613030E+03 0.24674690E+03
 0.47300000E+01 0.21722502E+03 0.24534602E+03
 0.47400000E+01 0.21833136E+03 0.24395847E+03
 0.47500000E+01 0.21944940E+03 0.24258416E+03
 0.47600000E+01 0.22057919E+03 0.24122302E+03
 0.47700000E+01 0.22172081E+03 0.23987496E+03
 0.47800000E+01 0.22287431E+03 0.23853992E+03
 0.47900000E+01 0.22403977E+03 0.23721781E+03
 0.48000000E+01 0.22521724E+03 0.23590855E+03
 0.48100000E+01 0.22640680E+03 0.23461208E+03
 0.48200000E+01 0.22760851E+03 0.23332832E+03
 0.48300000E+01 0.22882245E+03 0.23205718E+03
 0.48400000E+01 0.23004867E+03 0.23079861E+03
 0.48500000E+01 0.23128726E+03 0.22955252E+03
 0.48600000E+01 0.23253828E+03 0.22831885E+03
 0.48700000E+01 0.23380181E+03 0.22709752E+03
 0.48800000E+01 0.23507791E+03 0.22588846E+03
 0.48900000E+01 0.23636666E+03 0.22469160E+03
 0.49000000E+01 0.23766814E+03 0.22350688E+03
 0.49100000E+01 0.23898241E+03 0.22233422E+03
 0.49200000E+01 0.24030955E+03 0.22117355E+03
 0.49300000E+01 0.24164965E+03 0.22002482E+03
 0.49400000E+01 0.24300277E+03 0.21888795E+03
 0.49500000E+01 0.24436899E+03 0.21776288E+03
 0.49600000E+01 0.24574839E+03 0.21664954E+03
 0.49700000E+01 0.24714104E+03 0.21554787E+03
