             t                      X                      Y       
 0.32600000E+01 0.17166063E+03 0.64167739E+03
 0.32700000E+01 0.17118211E+03 0.63747437E+03
 0.32800000E+01 0.17071924E+03 0.63329291E+03
 0.32900000E+01 0.17027182E+03 0.62913316E+03
 0.33000000E+01 0.16983967E+03 0.62499524E+03
 0.33100000E+01 0.16942260E+03 0.62087925E+03
 0.33200000E+01 0.16902042E+03 0.61678533E+03
 0.33300000E+01 0.16863298E+03 0.61271355E+03
 0.33400000E+01 0.16826008E+03 0.60866403E+03
 0.33500000E+01 0.16790157E+03 0.60463686E+03
 0.33600000E+01 0.16755728E+03 0.60063210E+03
 0.33700000E+01 0.16722705E+03 0.59664985E+03
 0.33800000E+01 0.16691073E+03 0.59269017E+03
 0.33900000E+01 0.16660816E+03 0.58875312E+03
 0.34000000E+01 0.16631920E+03 0.58483877E+03
 0.34100000E+01 0.16604370E+03 0.58094716E+03
 0.34200000E+01 0.16578152E+03 0.57707834E+03
 0.34300000E+01 0.16553253E+03 0.57323236E+03
 0.34400000E+01 0.16529658E+03 0.56940925E+03
 0.34500000E+01 0.16507356E+03 0.56560904E+03
 0.34600000E+01 0.16486333E+03 0.56183176E+03
 0.34700000E+01 0.16466577E+03 0.55807743E+03
 0.34800000E+01 0.16448076E+03 0.55434607E+03
 0.34900000E+01 0.16430817E+03 0.55063768E+03
 0.35000000E+01 0.16414791E+03 0.54695229E+03
 0.35100000E+01 0.16399985E+03 0.54328988E+03
 0.35200000E+01 0.16386389E+03 0.53965047E+03
 0.35300000E+01 0.16373993E+03 0.53603404E+03
 0.35400000E+01 0.16362785E+03 0.53244059E+03
 0.35500000E+01 0.16352757E+03 0.52887011E+03
 0.35600000E+01 0.16343898E+03 0.52532258E+03
 0.35700000E+01 0.16336199E+03 0.52179798E+03
 0.35800000E+01 0.16329651E+03 0.51829629E+03
 0.35900000E+01 0.16324245E+03 0.51481748E+03
 0.36000000E+01 0.16319973E+03 0.51136153E+03
 0.36100000E+01 0.16316826E+03 0.50792840E+03
 0.36200000E+01 0.16314795E+03 0.50451806E+03
 0.36300000E+01 0.16313875E+03 0.50113047E+03
 0.36400000E+01 0.16314055E+03 0.49776559E+03
 0.36500000E+01 0.16315330E+03 0.49442337E+03
 0.36600000E+01 0.16317692E+03 0.49110378E+03
 0.36700000E+01 0.16321135E+03 0.48780675E+03
 0.36800000E+01 0.16325650E+03 0.48453225E+03
 0.36900000E+01 0.16331233E+03 0.48128021E+03
 0.37000000E+01 0.16337877E+03 0.47805059E+03
 0.37100000E+01 0.16345576E+03 0.47484331E+03
 0.37200000E+01 0.16354323E+03 0.47165833E+03
 0.37300000E+01 0.16364114E+03 0.46849559E+03
 0.37400000E+01 0.16374943E+03 0.46535501E+03
 0.37500000E+01 0.16386805E+03 0.46223653E+03
 0.37600000E+01 0.16399694E+03 0.45914009E+03
 0.37700000E+01 0.16413607E+03 0.45606561E+03
 0.37800000E+01 0.16428538E+03 0.45301302E+03
 0.37900000E+01 0.16444483E+03 0.44998226E+03
 0.38000000E+01 0.16461437E+03 0.44697324E+03
 0.38100000E+01 0.16479397E+03 0.44398590E+03
 0.38200000E+01 0.16498359E+03 0.44102015E+03
 0.38300000E+01 0.16518319E+03 0.43807591E+03
 0.38400000E+01 0.16539273E+03 0.43515311E+03
 0.38500000E+01 0.16561218E+03 0.43225167E+03
 0.38600000E+01 0.16584152E+03 0.42937150E+03
 0.38700000E+01 0.16608070E+03 0.42651252E+03
 0.38800000E+01 0.16632970E+03 0.42367464E+03
 0.38900000E+01 0.16658850E+03 0.42085778E+03
 0.39000000E+01 0.16685706E+03 0.41806186E+03
 0.39100000E+01 0.16713537E+03 0.41528678E+03
 0.39200000E+01 0.16742340E+03 0.41253246E+03
 0.39300000E+01 0.16772113E+03 0.40979880E+03
 0.39400000E+01 0.16802854E+03 0.40708573E+03
 0.39500000E+01 0.16834561E+03 0.40439314E+03
 0.39600000E+01 0.16867233E+03 0.40172095E+03
 0.39700000E+01 0.16900868E+03 0.39906906E+03
 0.39800000E+01 0.16935466E+03 0.39643738E+03
 0.39900000E+01 0.16971023E+03 0.39382582E+03
 0.40000000E+01 0.17007541E+03 0.39123428E+03
 0.40100000E+01 0.17045017E+03 0.38866267E+03
 0.40200000E+01 0.17083450E+03 0.38611090E+03
 0.40300000E+01 0.17122841E+03 0.38357887E+03
 0.40400000E+01 0.17163188E+03 0.38106648E+03
 0.40500000E+01 0.17204492E+03 0.37857363E+03
 0.40600000E+01 0.17246752E+03 0.37610024E+03
 0.40700000E+01 0.17289967E+03 0.37364620E+03
 0.40800000E+01 0.17334138E+03 0.37121141E+03
 0.40900000E+01 0.17379264E+03 0.36879579E+03
 0.41000000E+01 0.17425347E+03 0.36639922E+03
 0.41100000E+01 0.17472386E+03 0.36402162E+03
 0.41200000E+01 0.17520382E+03 0.36166289E+03
 0.41300000E+01 0.17569335E+03 0.35932292E+03
 0.41400000E+01 0.17619246E+03 0.35700162E+03
 0.41500000E+01 0.17670116E+03 0.35469890E+03
 0.41600000E+01 0.17721946E+03 0.35241464E+03
 0.41700000E+01 0.17774737E+03 0.35014876E+03
 0.41800000E+01 0.17828489E+03 0.34790116E+03
 0.41900000E+01 0.17883205E+03 0.34567173E+03
 0.42000000E+01 0.17938885E+03 0.34346038E+03
 0.42100000E+01 0.17995531E+03 0.34126700E+03
 0.42200000E+01 0.18053145E+03 0.33909151E+03
 0.42300000E+01 0.18111728E+03 0.33693381E+03
 0.42400000E+01 0.18171282E+03 0.33479379E+03
 0.42500000E+01 0.18231809E+03 0.33267135E+03
 0.42600000E+01 0.18293311E+03 0.33056641E+03
 0.42700000E+01 0.18355790E+03 0.32847885E+03
 0.42800000E+01 0.18419248E+03 0.32640859E+03
 0.42900000E+01 0.18483687E+03 0.32435553E+03
 0.43000000E+01 0.18549111E+03 0.32231957E+03
 0.43100000E+01 0.18615521E+03 0.32030060E+03
 0.43200000E+01 0.18682920E+03 0.31829855E+03
 0.43300000E+01 0.18751310E+03 0.31631330E+03
 0.43400000E+01 0.18820695E+03 0.31434476E+03
 0.43500000E+01 0.18891078E+03 0.31239285E+03
 0.43600000E+01 0.18962460E+03 0.31045745E+03
 0.43700000E+01 0.19034846E+03 0.30853848E+03
 0.43800000E+01 0.19108239E+03 0.30663584E+03
 0.43900000E+01 0.19182641E+03 0.30474944E+03
 0.44000000E+01 0.19258057E+03 0.30287918E+03
 0.44100000E+01 0.19334489E+03 0.30102497E+03
 0.44200000E+01 0.19411941E+03 0.29918672E+03
 0.44300000E+01 0.19490417E+03 0.29736432E+03
 0.44400000E+01 0.19569921E+03 0.29555770E+03
 0.44500000E+01 0.19650455E+03 0.29376676E+03
 0.44600000E+01 0.19732025E+03 0.29199140E+03
 0.44700000E+01 0.19814634E+03 0.29023153E+03
 0.44800000E+01 0.19898286E+03 0.28848707E+03
 0.44900000E+01 0.19982985E+03 0.28675792E+03
 0.45000000E+01 0.20068736E+03 0.28504399E+03
 0.45100000E+01 0.20155543E+03 0.28334520E+03
 0.45200000E+01 0.20243409E+03 0.28166145E+03
 0.45300000E+01 0.20332341E+03 0.27999265E+03
 0.45400000E+01 0.20422341E+03 0.27833873E+03
 0.45500000E+01 0.20513416E+03 0.27669958E+03
 0.45600000E+01 0.20605569E+03 0.27507513E+03
 0.45700000E+01 0.20698806E+03 0.27346528E+03
 0.45800000E+01 0.20793131E+03 0.27186996E+03
 0.45900000E+01 0.20888549E+03 0.27028907E+03
 0.46000000E+01 0.20985066E+03 0.26872253E+03
 0.46100000E+01 0.21082686E+03 0.26717025E+03
 0.46200000E+01 0.21181414E+03 0.26563216E+03
 0.46300000E+01 0.21281257E+03 0.26410817E+03
 0.46400000E+01 0.21382219E+03 0.26259819E+03
 0.46500000E+01 0.21484306E+03 0.26110215E+03
 0.46600000E+01 0.21587523E+03 0.25961996E+03
 0.46700000E+01 0.21691876E+03 0.25815154E+03
 0.46800000E+01 0.21797371E+03 0.25669682E+03
 0.46900000E+01 0.21904013E+03 0.25525571E+03
 0.47000000E+01 0.22011808E+03 0.25382813E+03
 0.47100000E+01 0.22120762E+03 0.25241400E+03
 0.47200000E+01 0.22230882E+03 0.25101326E+03
 0.47300000E+01 0.22342172E+03 0.24962581E+03
 0.47400000E+01 0.22454640E+03 0.24825159E+03
 0.47500000E+01 0.22568291E+03 0.24689051E+03
 0.47600000E+01 0.22683132E+03 0.24554251E+03
 0.47700000E+01 0.22799169E+03 0.24420751E+03
 0.47800000E+01 0.22916408E+03 0.24288543E+03
 0.47900000E+01 0.23034857E+03 0.24157620E+03
 0.48000000E+01 0.23154521E+03 0.24027975E+03
 0.48100000E+01 0.23275407E+03 0.23899601E+03
 0.48200000E+01 0.23397522E+03 0.23772490E+03
 0.48300000E+01 0.23520873E+03 0.23646636E+03
 0.48400000E+01 0.23645466E+03 0.23522031E+03
 0.48500000E+01 0.23771309E+03 0.23398668E+03
 0.48600000E+01 0.23898408E+03 0.23276542E+03
 0.48700000E+01 0.24026770E+03 0.23155644E+03
 0.48800000E+01 0.24156403E+03 0.23035969E+03
 0.48900000E+01 0.24287314E+03 0.22917509E+03
 0.49000000E+01 0.24419510E+03 0.22800258E+03
 0.49100000E+01 0.24552999E+03 0.22684210E+03
 0.49200000E+01 0.24687787E+03 0.22569358E+03
 0.49300000E+01 0.24823882E+03 0.22455696E+03
 0.49400000E+01 0.24961292E+03 0.22343217E+03
 0.49500000E+01 0.25100024E+03 0.22231916E+03
 0.49600000E+01 0.25240086E+03 0.22121785E+03
 0.49700000E+01 0.25381486E+03 0.22012820E+03
